,Title,Bathrooms,Bedrooms,Car Spaces,Floor area (m²),Land Size (m²),Subdivision name,Block and Lot/Unit Number,Build (Year),Rooms (total),Price
596,"For sale Modern House and Lot within Maria Luisa Estate, Cebu City",4.0,4.0,4.0,650.0,800.0,Maria Luisa Estate Park,,,4.0,120000000
597,"For Sale 6BR House and Lot in Loyola Grand Villas in Barangka, Marikina",6.0,6.0,,600.0,860.0,Loyola Grand Villas,,,,128000000
598,"RFO End unit townhouse in talon las pinas ,2car garage 4bdrms las pinas city",3.0,4.0,2.0,130.0,80.0,Pilar Village,,2022.0,4.0,7500000
599,Tahanan Village Parañaque House and Lot for Sale LA 630 Sqm FA 900 Sqm ,7.0,7.0,10.0,900.0,630.0,Tahanan Village,,,,68500000
600,"RFO End unit townhouse in talon las pinas ,2car garage 4bdrms las pinas city",3.0,4.0,2.0,130.0,80.0,Pilar Village,,2022.0,4.0,7500000
601,For Sale Brand New 3Car Garage Townhouse with Elevator in New Manila Quezon City,4.0,4.0,3.0,415.0,120.0,,Block 1 lot 3,,4.0,45500000
602,"Scandinavian High Ceiling Single Attached House and Lot 3 BR, 2 T&B For Sale",2.0,3.0,2.0,75.0,128.0,Bankers Village 3,Unit a Blk 4 Lot 6,2022.0,3.0,5100000
603,Ayala Heights Brand New 5 Bedroom Modern House for Sale Quezon City Nr. Ateneo ,5.0,5.0,3.0,820.0,480.0,Ayala Heights,,,,160000000
604,"Semi furnished Portofino Height 4 Bedroom House for Sale Daang Hari, Las Pinas ",4.0,4.0,2.0,350.0,490.0,Portofino Heights,,,,49500000
605,"Tagaytay Vacation House for Sale, 8 Bedroom 8BR Villa for Sale with Pool",11.0,8.0,4.0,800.0,600.0,,,,,95000000
606,Batangas 2-Storey Relaxing Vacation House for Sale with huge farm Lot San Jose,4.0,4.0,8.0,450.0,9210.0,,,,,58000000
607,Ready for Occupancy Brand New Townhouse in San Juan Metro Manila,3.0,3.0,2.0,252.0,67.0,,B,,,22680000
608,2 Car Garage 3 Bedroom Townhouse for sale in Tandang Sora house Quezon City ,3.0,3.0,2.0,117.0,60.0,NIA Village,#1,2021.0,4.0,7400000
609,For Sale House and lot in Capitol Hills Quezon City near Ateneo and UP Diliman,3.0,4.0,3.0,200.0,75.0,,Front Unit,,4.0,15500000
610,"Two Storey House with Swimming Pool For Sale in San Fernando, Pampanga",6.0,4.0,5.0,800.0,1000.0,,,,,40000000
611,For Sale 3- 4 Bedrooms Single Detached House in a Peaceful Community in Biñan,2.0,4.0,2.0,80.0,120.0,Palma Real Residential Estates,7/15,2022.0,3.0,5196800
612,"For Sale House & Lot at Parkplace Village Imus, Cavite",3.0,2.0,,280.0,150.0,Park Place Village - Cavite,Phase 1,,,8000000
613,For Sale Semi Furnished 5BR House and Lot in McKinley Hill Village,6.0,5.0,6.0,396.0,187.0,McKinley Hill Village,,,,89000000
614,"Brand New Semi-Furnished 3 Bedroom House For Sale In Buaya, Mactan, Lapu-Lapu",4.0,3.0,2.0,300.0,174.0,Private,,2019.0,4.0,18000000
615,Modern Spacious House for sale in Antipolo near Vista Mall and Antipolo Doctors,3.0,4.0,2.0,253.0,150.0,,Unit 1,2022.0,4.0,14500000
616,Xavierville Brand New House & Lot For Sale in Katipunan Quezon City - Furnished,5.0,5.0,4.0,516.0,534.0,Xavierville,,,5.0,128000000
617,"House and Lot in Marcelo Green Village, Parañaque City For Sale!",3.0,4.0,2.0,300.0,357.0,Marcelo Green Village,Phase 4,,5.0,17000000
618,"Captivating 5-Storey Beach House for Sale with infinity pool in Anilao, Batangas",5.0,5.0,,1041.0,900.0,,,,,75000000
619,"Cavite House for Sale at Ayala Westgrove Heights, 4-Storey Modern Design, Silang",4.0,4.0,5.0,750.0,380.0,Ayala Westgrove Heights,,,,85000000
620,Rush Sale: Lot Value St. Ignatius Village Quezon City House and Lot for Sale ,4.0,4.0,4.0,500.0,474.0,St. Ignatius Village,,,,65000000
621,Pre Owned Townhouse for Sale in Antipolo near Budgetlane and Shopwise Antipolo,2.0,3.0,1.0,105.0,60.0,,Unit 1,2019.0,3.0,4600000
622,4 Bedrooms Townhouse for Sale in Mindanao Ave. Pre Owned,4.0,4.0,,160.0,99.0,,,,,8500000
623,NEW Swimming Pool Quezon City House and Lot for sale in Filinvest 2 Commonwealth,6.0,5.0,2.0,320.0,216.0,Filinvest Heights,#4,2021.0,4.0,29500000
624,Re-open! Brand New 3 Bedroom House and Lot for Sale in Pamplona 3 Las Piñas City,2.0,3.0,1.0,100.63,77.0,,,,3.0,6029000
625,"For Sale Modern House and Lot in Hillsborough Alabang, Muntinlupa City",6.0,6.0,4.0,680.0,700.0,Hillsborough,,2002.0,6.0,88000000
626,Brand New American Themed Two Storey House For Sale in San Fernando Pampanga,5.0,4.0,2.0,275.0,318.0,,,2022.0,5.0,21000000
627,Brandnew Two Storey House and Lot,3.0,4.0,,150.0,165.0,,,,,15000000
628,"4 bedrooms Townhouse for sale in Mayamot, Antipolo Near LRT Masinag ",3.0,4.0,1.0,80.0,64.0,Crest View Homes Residences,Unit 1,2022.0,4.0,4880000
629,"House and lot for Sale in Vista Verde, San Isidro, Cainta, Rizal Nr. Eastwood",5.0,4.0,,720.0,840.0,Vista Verde Executive Village - Cainta,,,,29000000
630,3 Bedroom  Don Antonio Heights Commonwealth Townhouse in Quezon City For Sale,3.0,3.0,2.0,127.0,42.0,Don Antonio Heights,#38,2021.0,4.0,8888888
631,Valle Verde 6|5 Bedroom Single Detached Modern House for Sale Pasig Nr.Eastwood,5.0,5.0,3.0,467.0,195.0,Valle Verde - Pasig,2,,,100000000
632,"Rare 4 Bedroom House for Sale Anvaya Cove, Morong, Bataan with Great view ",4.0,4.0,4.0,500.0,706.0,Anvaya Cove,,,,80000000
633, Greenmeadows Subdivision Spacious 3BR House For Sale in Quezon City near BGC,3.0,3.0,3.0,500.0,805.0,Green Meadows Subdivision,,,,265000000
634,Repriced! Quezon City 5 Bedrooms House and Lot near Anonas For Sale ,4.0,5.0,,344.0,296.0,,,,,48000000
635,3-BR Brand New House for Sale at Eastville Filinvest Cainta East ,3.0,3.0,2.0,188.0,172.0,Eastville,,2022.0,3.0,19000000
636,"House and Lot For Sale in Manila-High End Development, Paco, Manila",4.0,4.0,3.0,393.0,100.0,Rosevale Estates,Unit A,2020.0,4.0,53000000
637,New House and Lot For Sale in Filinvest 2 Batasan near Commonwealth Quezon City,4.0,4.0,2.0,307.0,240.0,Filinvest 2 Subdivision,Block 5,2021.0,4.0,27000000
638,Brand New Townhouse for Sale in Don Antonio Commonwealth Quezon City near EDSA,3.0,3.0,2.0,126.0,42.0,Don Antonio Heights,Block 1 Lot 1,2021.0,,8888888
639,7.2M New Townhouse for sale in Tandang Sora near Mindanao Avenue Quezon City,3.0,3.0,1.0,180.0,60.0,Tandang Sora,,,,7200000
640,"Brand New 5 BR House And Lot For Sale In Filinvest East, Flood Free",5.0,5.0,2.0,260.0,163.0,Filinvest,12/22,2022.0,5.0,15800000
641,"For Sale: 3 Bedroom House and Lot in Ridgeview Estates Nuvali, Calamba",3.0,3.0,2.0,117.0,176.0,Ridgeview Estates Nuvali,,,,15000000
642,Affordable Single Attached House for sale in Antipolo near Assumption School ,1.0,3.0,,66.0,70.0,Celestis,Single Attached,,,4800000
643,3 Bedroom 2 Parking Tandang Sora Mindanao Commonwealth Townhouse For Sale ,3.0,3.0,2.0,117.0,60.0,,#16,2021.0,3.0,7400000
644,"Brand New Townhouse in Northview Q.C, 3 Bedroom For Sale in Batasan Hills",3.0,3.0,2.0,180.0,90.0,Northview Subdivision,,,,7800000
645,"St. Ignatius Residential Property for Sale in Quezon City, Metro Manila",3.0,4.0,3.0,400.0,256.0,St. Ignatius Village,,,,44800000
646,Tagaytay Vacation House For Sale At Royale Tagaytay Estate Subd. 3-Storey Cavite,3.0,4.0,4.0,540.37,837.0,Royale Tagaytay Estates,,,,39950000
647,"For Sale Beautiful Vacation Villa with Pool and Gazebo in Tagaytay, Cavite",11.0,8.0,,800.0,600.0,,,,,95000000
648,Tivoli Royale 4 Bedroom Modern House and Lot for Sale in QC! Nr. Batasan Hills,5.0,4.0,4.0,850.0,364.0,Tivoli Royale,,,,95000000
649,"House And Lot For Sale In Tivoli Royale, Quezon City, Qc! Nr. Don Antonio Royale",5.0,4.0,,850.0,364.0,Tivoli Royale,,,,95000000
650,"Newly Built 2-Storey House For Sale Quezon City With Swimming Pool,Capitol Homes",5.0,5.0,,850.0,663.0,Capitol Homes,,,,105000000
651,Brand New Single Detached House and Lot 5 bedroom in Consolacion Cebu for sale,3.0,5.0,3.0,157.0,140.0,Belize North,B1L13,,5.0,9000000
652,"Ayala Southvale Sonera 2-Storey Modern Zen House for Sale Daang Hari, Las Piñas",7.0,4.0,4.0,400.0,353.0,Ayala Southvale Sonera,,,,64000000
653,"Brand New 4-Storey Townhouse for Sale in Cubao, Quezon City Nr. Katipunan,Ateneo",4.0,4.0,2.0,268.0,81.6,,,,,29000000
654,"For Sale 3 Bedrooms Duplex House Ready for Occupancy, Antipolo",3.0,3.0,1.0,80.0,60.0,,,,3.0,5300000
655,513sqm 3-Storey Bnew House with ELEVATOR in Exclusive Subdivision ,6.0,5.0,,513.0,189.0,McKinley Hill Village,,,,130000000
656,"Brand New Fully Furnished 4 Bedroom House for Sale in Pulu-Amsic, Angeles City",5.0,4.0,2.0,280.0,240.0,Pulu-Amsic Subdivision,Phase 1,,4.0,20500000
657,Brand New Townhouse For Sale in Tandang Sora near Mindanao Avenue Quezon City,3.0,3.0,1.0,180.0,60.0,,Block 7,,,7200000
658,"Modern 8 Bedroom Big House For Sale in South Forbes, Silang, Cavite",9.0,8.0,,765.0,351.0,Phuket,,,8.0,55000000
659,"For Sale: Venare Brand New House & Lot in Nuvali, Calamba, Laguna (4BR)",4.0,4.0,3.0,325.0,235.0,Venare,,,,26000000
660,"Doña Petrona Subdivision New 4BR Modern Townhouse for Sale in Fairview, QC",5.0,4.0,3.0,255.0,160.0,Doña Petrona Subdivision,,,,20000000
661,"Charming 4-Bedroom House For Sale In Royale Tagaytay Estates, Alfonso Cavite!",4.0,4.0,,540.37,837.0,Royale Tagaytay Estates,,,,39950000
662,Filinvest 2 Quezon City House And Lot For Sale,4.0,4.0,,307.0,240.0,,,,,27000000
663,Spacious House and Lot For Sale in Antipolo City Sumulong Area,5.0,5.0,3.0,530.0,496.0,,Unit 1,,,28000000
664,"Brand New 5 Bedroom House for Sale at Mckinley Hill Village, Taguig!",6.0,5.0,4.0,513.0,189.0,McKinley Hill Village,80,,,130000000
665,For sale 5-Bedrooms 2 garage House and Lot in Filinvest 2 near Commonwealth,5.0,5.0,2.0,350.0,240.0,Filinvest Heights,#25,,4.0,34000000
666,"Well-Maintained 4 Bedroom House for Sale in Merville, Parañaque",4.0,4.0,2.0,750.0,504.0,Merville Park Subdivision,,1999.0,4.0,48000000
667,"Spacious 4 Bedrooms Townhouse for sale in Mandaluyong City, Metro Manila",5.0,4.0,2.0,254.0,69.0,Glenbrook,Unit B,2020.0,4.0,27900000
668,"House For Sale in Mahogany Place 3, Acacia Estates, Taguig City",3.0,3.0,2.0,332.0,150.0,,,,,36000000
669,"Stonecrest Subdivision 3 Storey Beautiful House for Sale in San Pendro, Laguna",5.0,5.0,4.0,560.0,480.0,Stonecrest Subdivision,,,,35000000
670,"Sprawling 4 Storey Rest House for Sale Anvaya Cove, Morong, Bataan w/ Sea view",4.0,4.0,,500.0,706.0,Anvaya Cove,,,,80000000
671,Afpovai Taguig Brand New 5br Duplex House For Sale With Lanai In Fort Bonifacio,5.0,4.0,,410.0,200.0,AFPOVAI,,,,49800000
672,"For Sale: Clean Title 4 Bedroom House at Ponticelli Hills, Bacoor",3.0,4.0,1.0,160.0,141.0,Ponticelli Hills,B-5 L-3,2012.0,4.0,13000000
673,4 Bedroom 2 Parking Townhouse for sale Commonwealth nr Tandang Sora Quezon City ,4.0,5.0,2.0,187.0,80.0,,Blk 1 Lot 1,,,11500000
674,Rush Sale! Enchanting Big House and Lot - Duplex at Multinational Village,7.0,11.0,,1200.0,586.0,Multinational Village,,,,59850000
675,"Verdana Homes 4 Bedroom Modern House and Lot for Sale in Bacoor, Cavite",3.0,4.0,2.0,300.0,230.0,Verdana Homes,,,,45000000
676,"2 Storey House and Lot For Sale in Avida Setting, Molino I, Bacoor, Cavite",5.0,5.0,4.0,432.0,278.0,Avida Settings Cavite,Block 7 Lot 50,2022.0,5.0,23079400
677,"3 Bedrooms Townhouse For Sale - Sm Novaliches, Quezon City, Metro Manila",2.0,3.0,1.0,104.0,60.0,Private,,,,5342000
678,BF Homes Parañaque  house For Sale,2.0,3.0,2.0,170.0,204.0,BF Homes Parañaque,,,,17300000
679,For Sale A Gorgeous Property  in Multinational Village in Parañaque,5.0,8.0,1.0,1100.0,696.0,Multinational Village,,,,73000000
680,New Commercial House and Lot near Araneta Project 4 Cubao Quezon City Townhouse,4.0,4.0,2.0,160.59,63.06,,Unit 35A-3,,5.0,13000000
681,RFO  Brand New House and Lot for Sale in Manuela Subdivision Las Piñas,2.0,2.0,1.0,54.0,51.0,,,,,4899998
682,4 Bedroom Single House with Big LA of 223 Located in Greenwoods Dasmariñas ,3.0,4.0,,160.0,223.0,Greenwoods Executive Village Parkview,15B 2,,,7100000
683,4Bedrooms House and Lot In Taytay Ready for Occupancy Along Highway 2000,3.0,4.0,,110.0,75.0,,,,,6500000
684,Ready For Occupancy House and lot Near SM Cherry ,2.0,2.0,,75.0,60.0,,,,,4800000
685,3 Parking Garage 4 Bedroom House and Lot for Sale in Commonwealth Quezon City,3.0,4.0,3.0,243.0,185.0,,#11,2021.0,4.0,16902930
686,Swimming Pool House and Lot for sale in Filinvest 2 Commonwealth Quezon City,6.0,5.0,2.0,320.0,216.0,Filinvest Heights,Block 47,2021.0,5.0,29500000
687,"Interior Decorated Beach front, 5-Storey Rest House for Sale in Anilao Batangas",5.0,5.0,,1041.0,900.0,,,,,75000000
688,"High End 2-Storey House For Sale Tivoli Royale,Quezon City Nr.Don Antonio Royale",5.0,4.0,,850.0,364.0,Tivoli Royale,,,,95000000
689,West Fairview Modern Townhouse for sale,3.0,3.0,,230.0,100.0,,,,,12000000
690,NEW Swimming Pool House and Lot in Filinvest 2 Commonwealth Batasan Quezon City,5.0,5.0,4.0,500.0,338.0,Filinvest 2,#7,2021.0,4.0,41500000
691,"For Sale: 3 Bedroom House & Lot in Amici Homes, Daang Hari, Bacoor Cavite",2.0,3.0,,100.0,112.0,Amici Subdivision,Blk 2 Lot 37,,4.0,8000000
692,Vista Real Classica II | Brand new 4BR House and Lot for Sale in Quezon City!,4.0,4.0,,400.0,310.0,Vista Real Classica,,,,45000000
693,Rush Sale! Tierra Pura Ph 6 4 Bedroom Classic Inspired House and Lot Quezon City,5.0,4.0,4.0,350.0,419.0,Tierra Pura,Phase 6,,,47000000
694,Ayala Alabang Village Brand New 3-Storey House for Sale with Elevator Muntinlupa,5.0,5.0,2.0,675.0,555.0,Ayala Alabang Village,,,,195000000
695,Quezon City House for Sale at Capitol Hills Golf Subdivision with 3 Bedroom 3BR ,5.0,3.0,,315.0,432.0,Capitol Hills Golf Subdivision,,,,75000000
696,"Stunning Modern 8-Bedroom House and Lot for Sale in South Forbes, Silang Cavite",8.0,8.0,,765.0,351.0,South Forbes Villas - Cavite,,,,55000000
697,"Quezon City House for Sale in Tivoli Royale,Brand New 4 Bedroom Nr.Batasan Hills",5.0,4.0,4.0,850.0,364.0,Tivoli Royale,,,,95000000
698,Ayala Heights Brand New Modern House and Lot for Sale in Quezon City,6.0,6.0,8.0,900.0,510.0,Ayala Heights,,2022.0,6.0,188000000
699,"Dasmarinas Village, Makati House and Lot for Sale Two Storey LA 1,012 FA 800",5.0,5.0,,800.0,1012.0,Dasmariñas Village,,,,600000000
700,Affordable Townhouse For Sale in Don Antonio Heights Commonwealth Quezon City,3.0,3.0,2.0,126.95,42.0,Don Antonio Heights,# 36 Unit C,2021.0,3.0,8888888
701,Townhouse for Sale in Tandang Sora nr Tierra Pura Subd Commonwealth Quezon City,4.0,4.0,2.0,185.0,78.0,,#26/Unit 11,2021.0,5.0,11500000
702,4 Bedroom House Townhouse For Sale in Tandang Sora Commonwealth Quezon City ,4.0,5.0,2.0,187.0,80.0,Union Village,Block 12,2021.0,,11500000
703,6BR Semi Furnished Townhouse For Sale in Don Antonio Commonwealth Quezon City,5.0,6.0,2.0,336.0,122.0,Don Antonio Heights,Unit A,2020.0,6.0,24500000
704,"3 car garage 4BR Scout townhouse for Sale in Laging Handa, Quezon City",4.0,4.0,3.0,290.0,82.0,,,,,29500000
705,"For Sale! 2 Storey Zen Type House & Lot in Ayala Southvale Sonera, Las Piñas",7.0,4.0,4.0,400.0,353.0,Ayala Southvale Sonera,Aqua Marine Street,,,64000000
706,Brand New Townhouse For Sale in Project 4 Cubao near Araneta Center Quezon City ,4.0,4.0,2.0,160.0,63.0,,#35,2021.0,5.0,13000000
707,House For Sale Top notch project for san juan home seekers,5.0,4.0,4.0,390.0,124.0,,K,,,49800000
708,"AFPOVAI Clean title Brand New House and Lot for Sale in Fort Bonifacio, Taguig",4.0,4.0,,410.0,200.0,AFPOVAI,,,,46500000
709,For Sale: Ayala Southvale Primera 4 Bedroom House and Lot with Pool in Bacoor,4.0,4.0,4.0,400.0,412.0,Ayala Southvale Primera,Phase 1,,,49000000
710,Horseshoe Village Quezon City House and Lot for Sale,3.0,4.0,7.0,260.0,922.0,Horseshoe Village,,,,138300000
711,"Spacious 4 Bedroom House for Sale Ayala Heights, Quezon City Nr. Libis, Diliman",4.0,4.0,,532.0,482.0,Ayala Heights Village,,,,95000000
712,"Newly Renovated 4-storey Townhouse for Sale in Cubao, Quezon City!",4.0,4.0,2.0,268.0,81.6,,,,,29000000
713,"Brand New 4-Bedroom Townhouse for Sale in Fairview, Quezon City",5.0,4.0,3.0,255.0,160.0,Dona Petrona Subdivision,,,,20000000
714,"3-Bedrooms Modern Townhouse in Santo Niño, Biñan, Laguna | Penthouse",3.0,3.0,1.0,90.0,60.0,Jubilation Enclave,Penthouse model,2022.0,3.0,5000000
715,NEW Commercial Residential Townhouse For Sale in Project 4 Cubao Quezon City,4.0,4.0,2.0,160.59,63.0,,Unit 35A-3,2021.0,,13000000
716,2 Parking Commercial Townhouse For Sale in Cubao Quezon City nr Katipunan EDSA ,4.0,4.0,2.0,160.0,63.0,,Unit 35A-3,2021.0,5.0,13000000
717,"Vista Verde Expansive 4BR House For Sale with Pool in Cainta, Rizal Nr. Eastwood",5.0,4.0,6.0,720.0,840.0,Vista Verde Executive Village - Cainta,,,,29000000
718,Capitol Homes Subd. Huge House for Sale w/ Big Garden Katipunan ave. Quezon City,8.0,7.0,7.0,1100.0,1120.0,Capitol Homes,,,,185000000
719,"For Sale Almost Brand New 4 Bedroom House for Sale in Tivoli Royale, Quezon City",5.0,4.0,4.0,850.0,364.0,Tivoli Royale,,,,95000000
720,"Brand New Modern Duplex House For Sale In Afpovai, Taguig Nr. Bgc,Airport,Makati",5.0,4.0,,410.0,200.0,AFPOVAI,,,,49800000
721,Ayala Hillside Estate House & Lot For Sale,4.0,4.0,,600.0,446.0,,,,,200000000
722,4 Bedrooms Townhouse for sale in Project 4 Cubao Teachers Village Quezon City,4.0,4.0,2.0,160.59,63.06,Teacher's Village,#75,,4.0,13000000
723,5 Bedroom Townhouse for sale in Tandang Sora nr Congressional Ext Quezon City,4.0,5.0,2.0,185.0,78.0,,Blk 1 Lot 1,2021.0,5.0,11500000
724,3 Bedroom Townhouse For Sale in Don Antonio Heights Commonwealth Quezon City ,3.0,3.0,2.0,126.0,42.0,Don Antonio Heights,#16,2021.0,3.0,8888888
725,3 Bedroom Townhouse for sale in Don Antonio Heights Commonwealth Quezon City ,3.0,3.0,2.0,126.95,42.0,Don Antonio Heights,Unit C,2021.0,4.0,8888888
726,For sale Mika - Ready For Occupancy in Puerto Princesa City Palawan,1.0,2.0,,46.0,99.0,Mika- Camella PPC,,,,5151000
727,8.8M Townhouse for sale in Don Antonio Holy Spirit Commonwealth Quezon City,3.0,3.0,2.0,126.0,42.0,Don Antonio Heights,,,,8888888
728,"GR287 Brand New 4-Car Townhouse for Sale near D Tuazon, Quezon City",5.0,5.0,4.0,480.0,137.0,Sta. Mesa Heights,Unit 1,,,49900000
729,2CG House and Lot for sale in Tandang Sora Katipunan Commonwealth Quezon City,4.0,4.0,2.0,187.0,78.0,,,,,11500000
730,Affordable House and Lot For Sale in Camella Homes General Trias ,3.0,4.0,1.0,83.0,99.0,Camella Homes General Trias,Block 3 Lot 12,,4.0,7752000
731,Phuket Mansions South Forbes 8 bedroom Brand New house for sale Silang Cavite,9.0,8.0,2.0,765.0,351.0,Phuket Mansions - Cavite,,,,55000000
732,"3-bedroom house unit for sale in Cabuco, Trece Martires, Cavite",2.0,3.0,,65.0,,Camella Trece,,,,5235000
733,For Sale 4 Storey House and Lot in Bagong Lipunan Crame Quezon City ,5.0,4.0,4.0,482.0,150.0,Orchid Estate,,2022.0,4.0,74000000
734,"Brandnew Townhouse (UP Village, Quezon City)",5.0,5.0,,400.0,150.0,UP Village,,,,30000000
735,Greenmeadows Subdivision 3Bedroom House and Lot For Sale in Quezon City-DS882264,4.0,3.0,3.0,600.0,805.0,Green Meadows Subdivision,,,,265000000
736,"3-Storey Modern Townhouse for Sale with Spacious Garden in Paco,Manila Nr.SM MOA",4.0,5.0,2.0,330.0,189.0,,,,,48000000
737,"For Sale Spacious, Classic House in Filinvest Homes East, Cainta, Rizal",5.0,5.0,4.0,600.0,652.0,Filinvest East Homes,,,,35000000
738,NEW Commercial Residential Townhouse For Sale in Cubao Quezon City nr Katipunan,4.0,4.0,2.0,160.0,63.0,,Unit 35A-3,2021.0,,13000000
739,"Bungalow House For Sale near Casimiro CAA Pamplona, Las Piñas   ",,2.0,1.0,160.0,121.0,,,,,10000000
740,"Brand New 5 Bedroom Townhouse for Sale in Valle Verde 6, Pasig City",,5.0,,467.0,195.0,Valle Verde - Pasig,,,,100000000
741,"For Sale Affordable House and Lot in Oton, Iloilo (Ready for Occupancy)",2.0,3.0,,66.0,99.0,Camella Savannah,004-0012,,,5335000
742,5 BR house & lot for sale at Versailles Alabang Village in Almanza Dos Las Piñas,3.0,5.0,2.0,334.75,311.0,Versailles Village,,,,35000000
743,8.8M 3 Bedrooms House and Lot for sale in Don Antonio Commonwealth Quezon City,2.0,3.0,2.0,126.0,42.0,Don Antonio Heights,#38 Unit C,2021.0,3.0,8888888
744,Vista Real Classica II 4 Bedroom House and Lot For Sale in Quezon City -DS882133,4.0,4.0,,400.0,310.0,Vista Real Classica,,,,45000000
745,"Anvaya Cove 4 Storey Vacation House for Sale w/ Mountain Sea view Morong, Bataan",5.0,4.0,4.0,500.0,706.0,Anvaya Cove,,,,80000000
746,"Valle Verde 2-Storey Corner House for Sale in Pasig near Ortigas, Eastwood City",4.0,4.0,,500.0,844.0,Valle Verde 2,,,,150000000
747,"Brand New 3-Storey House and lot for Sale in Valle Verde 6, Pasig City",5.0,5.0,3.0,467.0,238.0,Valle Verde - Pasig,B,,,100000000
748,"Bright and Homey 5BR House and Lot for Sale in Magallanes Village, Makati City!",4.0,5.0,,332.0,353.0,Magallanes Village,,,,129000000
749,"Semi furnished 4 Bedroom 4BR House for Sale Ayala Heights, Old Balara Nr. Libis",,4.0,,532.0,482.0,,,,,95000000
750,"Brand New 3-Storey House and lot for Sale in Valle Verde 6, Pasig City",5.0,5.0,3.0,467.0,238.0,Valle Verde - Pasig,B,,,100000000
751,"Bright and Homey 5BR House and Lot for Sale in Magallanes Village, Makati City!",4.0,5.0,,332.0,353.0,Magallanes Village,,,,129000000
752,"Semi furnished 4 Bedroom 4BR House for Sale Ayala Heights, Old Balara Nr. Libis",,4.0,,532.0,482.0,,,,,95000000
753,For Sale 4 Bedroom Modern Elegant Smart Duplex House in Antipolo near Vista Mall,4.0,4.0,2.0,253.0,150.0,,,,4.0,14500000
